# Average annual utilization of renewable technologies, calculated using regional solar irradiance data and wind resource curves to adjust default assumptions
region,supplysector,subsector,stub.technology,year,capacity.factor
Australia_NZ,electricity,wind,wind_storage,2021,0.37
Australia_NZ,electricity,wind,wind_storage,2025,0.37
Australia_NZ,electricity,wind,wind_storage,2030,0.37
Australia_NZ,electricity,wind,wind_storage,2035,0.37
Australia_NZ,electricity,wind,wind_storage,2040,0.37
Australia_NZ,electricity,wind,wind_storage,2045,0.37
Australia_NZ,electricity,wind,wind_storage,2050,0.37
Australia_NZ,electricity,wind,wind_storage,2055,0.37
Australia_NZ,electricity,wind,wind_storage,2060,0.37
Australia_NZ,electricity,wind,wind_storage,2065,0.37
Australia_NZ,electricity,wind,wind_storage,2070,0.37
Australia_NZ,electricity,wind,wind_storage,2075,0.37
Australia_NZ,electricity,wind,wind_storage,2080,0.37
Australia_NZ,electricity,wind,wind_storage,2085,0.37
Australia_NZ,electricity,wind,wind_storage,2090,0.37
Australia_NZ,electricity,wind,wind_storage,2095,0.37
Australia_NZ,electricity,wind,wind_storage,2100,0.37
Brazil,electricity,wind,wind_storage,1975,0.34
Brazil,electricity,wind,wind_storage,1990,0.34
Brazil,electricity,wind,wind_storage,2005,0.34
Brazil,electricity,wind,wind_storage,2010,0.34
Brazil,electricity,wind,wind_storage,2015,0.34
Brazil,electricity,wind,wind_storage,2021,0.34
Brazil,electricity,wind,wind_storage,2025,0.34
Brazil,electricity,wind,wind_storage,2030,0.34
Brazil,electricity,wind,wind_storage,2035,0.34
Brazil,electricity,wind,wind_storage,2040,0.34
Brazil,electricity,wind,wind_storage,2045,0.34
Brazil,electricity,wind,wind_storage,2050,0.34
Brazil,electricity,wind,wind_storage,2055,0.34
Brazil,electricity,wind,wind_storage,2060,0.34
Brazil,electricity,wind,wind_storage,2065,0.34
Brazil,electricity,wind,wind_storage,2070,0.34
Brazil,electricity,wind,wind_storage,2075,0.34
Brazil,electricity,wind,wind_storage,2080,0.34
Brazil,electricity,wind,wind_storage,2085,0.34
Brazil,electricity,wind,wind_storage,2090,0.34
Brazil,electricity,wind,wind_storage,2095,0.34
Brazil,electricity,wind,wind_storage,2100,0.34
Canada,electricity,wind,wind_storage,1975,0.37
Canada,electricity,wind,wind_storage,1990,0.37
Canada,electricity,wind,wind_storage,2005,0.37
Canada,electricity,wind,wind_storage,2010,0.37
Canada,electricity,wind,wind_storage,2015,0.37
Canada,electricity,wind,wind_storage,2021,0.37
Canada,electricity,wind,wind_storage,2025,0.37
Canada,electricity,wind,wind_storage,2030,0.37
Canada,electricity,wind,wind_storage,2035,0.37
Canada,electricity,wind,wind_storage,2040,0.37
Canada,electricity,wind,wind_storage,2045,0.37
Canada,electricity,wind,wind_storage,2050,0.37
Canada,electricity,wind,wind_storage,2055,0.37
Canada,electricity,wind,wind_storage,2060,0.37
Canada,electricity,wind,wind_storage,2065,0.37
Canada,electricity,wind,wind_storage,2070,0.37
Canada,electricity,wind,wind_storage,2075,0.37
Canada,electricity,wind,wind_storage,2080,0.37
Canada,electricity,wind,wind_storage,2085,0.37
Canada,electricity,wind,wind_storage,2090,0.37
Canada,electricity,wind,wind_storage,2095,0.37
Canada,electricity,wind,wind_storage,2100,0.37
Central America and Caribbean,electricity,wind,wind_storage,1975,0.37
Central America and Caribbean,electricity,wind,wind_storage,1990,0.37
Central America and Caribbean,electricity,wind,wind_storage,2005,0.37
Central America and Caribbean,electricity,wind,wind_storage,2010,0.37
Central America and Caribbean,electricity,wind,wind_storage,2015,0.37
Central America and Caribbean,electricity,wind,wind_storage,2021,0.37
Central America and Caribbean,electricity,wind,wind_storage,2025,0.37
Central America and Caribbean,electricity,wind,wind_storage,2030,0.37
Central America and Caribbean,electricity,wind,wind_storage,2035,0.37
Central America and Caribbean,electricity,wind,wind_storage,2040,0.37
Central America and Caribbean,electricity,wind,wind_storage,2045,0.37
Central America and Caribbean,electricity,wind,wind_storage,2050,0.37
Central America and Caribbean,electricity,wind,wind_storage,2055,0.37
Central America and Caribbean,electricity,wind,wind_storage,2060,0.37
Central America and Caribbean,electricity,wind,wind_storage,2065,0.37
Central America and Caribbean,electricity,wind,wind_storage,2070,0.37
Central America and Caribbean,electricity,wind,wind_storage,2075,0.37
Central America and Caribbean,electricity,wind,wind_storage,2080,0.37
Central America and Caribbean,electricity,wind,wind_storage,2085,0.37
Central America and Caribbean,electricity,wind,wind_storage,2090,0.37
Central America and Caribbean,electricity,wind,wind_storage,2095,0.37
Central America and Caribbean,electricity,wind,wind_storage,2100,0.37
Central Asia,electricity,wind,wind_storage,1975,0.35
Central Asia,electricity,wind,wind_storage,1990,0.35
Central Asia,electricity,wind,wind_storage,2005,0.35
Central Asia,electricity,wind,wind_storage,2010,0.35
Central Asia,electricity,wind,wind_storage,2015,0.35
Central Asia,electricity,wind,wind_storage,2021,0.35
Central Asia,electricity,wind,wind_storage,2025,0.35
Central Asia,electricity,wind,wind_storage,2030,0.35
Central Asia,electricity,wind,wind_storage,2035,0.35
Central Asia,electricity,wind,wind_storage,2040,0.35
Central Asia,electricity,wind,wind_storage,2045,0.35
Central Asia,electricity,wind,wind_storage,2050,0.35
Central Asia,electricity,wind,wind_storage,2055,0.35
Central Asia,electricity,wind,wind_storage,2060,0.35
Central Asia,electricity,wind,wind_storage,2065,0.35
Central Asia,electricity,wind,wind_storage,2070,0.35
Central Asia,electricity,wind,wind_storage,2075,0.35
Central Asia,electricity,wind,wind_storage,2080,0.35
Central Asia,electricity,wind,wind_storage,2085,0.35
Central Asia,electricity,wind,wind_storage,2090,0.35
Central Asia,electricity,wind,wind_storage,2095,0.35
Central Asia,electricity,wind,wind_storage,2100,0.35
China,electricity,wind,wind_storage,1975,0.37
China,electricity,wind,wind_storage,1990,0.37
China,electricity,wind,wind_storage,2005,0.37
China,electricity,wind,wind_storage,2010,0.37
China,electricity,wind,wind_storage,2015,0.37
China,electricity,wind,wind_storage,2021,0.37
China,electricity,wind,wind_storage,2025,0.37
China,electricity,wind,wind_storage,2030,0.37
China,electricity,wind,wind_storage,2035,0.37
China,electricity,wind,wind_storage,2040,0.37
China,electricity,wind,wind_storage,2045,0.37
China,electricity,wind,wind_storage,2050,0.37
China,electricity,wind,wind_storage,2055,0.37
China,electricity,wind,wind_storage,2060,0.37
China,electricity,wind,wind_storage,2065,0.37
China,electricity,wind,wind_storage,2070,0.37
China,electricity,wind,wind_storage,2075,0.37
China,electricity,wind,wind_storage,2080,0.37
China,electricity,wind,wind_storage,2085,0.37
China,electricity,wind,wind_storage,2090,0.37
China,electricity,wind,wind_storage,2095,0.37
China,electricity,wind,wind_storage,2100,0.37
EU-12,electricity,wind,wind_storage,1975,0.36
EU-12,electricity,wind,wind_storage,1990,0.36
EU-12,electricity,wind,wind_storage,2005,0.36
EU-12,electricity,wind,wind_storage,2010,0.36
EU-12,electricity,wind,wind_storage,2015,0.36
EU-12,electricity,wind,wind_storage,2021,0.36
EU-12,electricity,wind,wind_storage,2025,0.36
EU-12,electricity,wind,wind_storage,2030,0.36
EU-12,electricity,wind,wind_storage,2035,0.36
EU-12,electricity,wind,wind_storage,2040,0.36
EU-12,electricity,wind,wind_storage,2045,0.36
EU-12,electricity,wind,wind_storage,2050,0.36
EU-12,electricity,wind,wind_storage,2055,0.36
EU-12,electricity,wind,wind_storage,2060,0.36
EU-12,electricity,wind,wind_storage,2065,0.36
EU-12,electricity,wind,wind_storage,2070,0.36
EU-12,electricity,wind,wind_storage,2075,0.36
EU-12,electricity,wind,wind_storage,2080,0.36
EU-12,electricity,wind,wind_storage,2085,0.36
EU-12,electricity,wind,wind_storage,2090,0.36
EU-12,electricity,wind,wind_storage,2095,0.36
EU-12,electricity,wind,wind_storage,2100,0.36
EU-15,electricity,wind,wind_storage,1975,0.37
EU-15,electricity,wind,wind_storage,1990,0.37
EU-15,electricity,wind,wind_storage,2005,0.37
EU-15,electricity,wind,wind_storage,2010,0.37
EU-15,electricity,wind,wind_storage,2015,0.37
EU-15,electricity,wind,wind_storage,2021,0.37
EU-15,electricity,wind,wind_storage,2025,0.37
EU-15,electricity,wind,wind_storage,2030,0.37
EU-15,electricity,wind,wind_storage,2035,0.37
EU-15,electricity,wind,wind_storage,2040,0.37
EU-15,electricity,wind,wind_storage,2045,0.37
EU-15,electricity,wind,wind_storage,2050,0.37
EU-15,electricity,wind,wind_storage,2055,0.37
EU-15,electricity,wind,wind_storage,2060,0.37
EU-15,electricity,wind,wind_storage,2065,0.37
EU-15,electricity,wind,wind_storage,2070,0.37
EU-15,electricity,wind,wind_storage,2075,0.37
EU-15,electricity,wind,wind_storage,2080,0.37
EU-15,electricity,wind,wind_storage,2085,0.37
EU-15,electricity,wind,wind_storage,2090,0.37
EU-15,electricity,wind,wind_storage,2095,0.37
EU-15,electricity,wind,wind_storage,2100,0.37
Ukraine,electricity,wind,wind_storage,1975,0.34
Ukraine,electricity,wind,wind_storage,1990,0.34
Ukraine,electricity,wind,wind_storage,2005,0.34
Ukraine,electricity,wind,wind_storage,2010,0.34
Ukraine,electricity,wind,wind_storage,2015,0.34
Ukraine,electricity,wind,wind_storage,2021,0.34
Ukraine,electricity,wind,wind_storage,2025,0.34
Ukraine,electricity,wind,wind_storage,2030,0.34
Ukraine,electricity,wind,wind_storage,2035,0.34
Ukraine,electricity,wind,wind_storage,2040,0.34
Ukraine,electricity,wind,wind_storage,2045,0.34
Ukraine,electricity,wind,wind_storage,2050,0.34
Ukraine,electricity,wind,wind_storage,2055,0.34
Ukraine,electricity,wind,wind_storage,2060,0.34
Ukraine,electricity,wind,wind_storage,2065,0.34
Ukraine,electricity,wind,wind_storage,2070,0.34
Ukraine,electricity,wind,wind_storage,2075,0.34
Ukraine,electricity,wind,wind_storage,2080,0.34
Ukraine,electricity,wind,wind_storage,2085,0.34
Ukraine,electricity,wind,wind_storage,2090,0.34
Ukraine,electricity,wind,wind_storage,2095,0.34
Ukraine,electricity,wind,wind_storage,2100,0.34
Europe_Non_EU,electricity,wind,wind_storage,1975,0.36
Europe_Non_EU,electricity,wind,wind_storage,1990,0.36
Europe_Non_EU,electricity,wind,wind_storage,2005,0.36
Europe_Non_EU,electricity,wind,wind_storage,2010,0.36
Europe_Non_EU,electricity,wind,wind_storage,2015,0.36
Europe_Non_EU,electricity,wind,wind_storage,2021,0.36
Europe_Non_EU,electricity,wind,wind_storage,2025,0.36
Europe_Non_EU,electricity,wind,wind_storage,2030,0.36
Europe_Non_EU,electricity,wind,wind_storage,2035,0.36
Europe_Non_EU,electricity,wind,wind_storage,2040,0.36
Europe_Non_EU,electricity,wind,wind_storage,2045,0.36
Europe_Non_EU,electricity,wind,wind_storage,2050,0.36
Europe_Non_EU,electricity,wind,wind_storage,2055,0.36
Europe_Non_EU,electricity,wind,wind_storage,2060,0.36
Europe_Non_EU,electricity,wind,wind_storage,2065,0.36
Europe_Non_EU,electricity,wind,wind_storage,2070,0.36
Europe_Non_EU,electricity,wind,wind_storage,2075,0.36
Europe_Non_EU,electricity,wind,wind_storage,2080,0.36
Europe_Non_EU,electricity,wind,wind_storage,2085,0.36
Europe_Non_EU,electricity,wind,wind_storage,2090,0.36
Europe_Non_EU,electricity,wind,wind_storage,2095,0.36
Europe_Non_EU,electricity,wind,wind_storage,2100,0.36
European Free Trade Association,electricity,wind,wind_storage,1975,0.37
European Free Trade Association,electricity,wind,wind_storage,1990,0.37
European Free Trade Association,electricity,wind,wind_storage,2005,0.37
European Free Trade Association,electricity,wind,wind_storage,2010,0.37
European Free Trade Association,electricity,wind,wind_storage,2015,0.37
European Free Trade Association,electricity,wind,wind_storage,2021,0.37
European Free Trade Association,electricity,wind,wind_storage,2025,0.37
European Free Trade Association,electricity,wind,wind_storage,2030,0.37
European Free Trade Association,electricity,wind,wind_storage,2035,0.37
European Free Trade Association,electricity,wind,wind_storage,2040,0.37
European Free Trade Association,electricity,wind,wind_storage,2045,0.37
European Free Trade Association,electricity,wind,wind_storage,2050,0.37
European Free Trade Association,electricity,wind,wind_storage,2055,0.37
